iter	Passed	Remaining
918	55067	22290
919	55121	22228
920	55171	22164
921	55222	22100
922	55281	22040
923	55339	21980
924	55390	21916
925	55452	21857
926	55513	21798
927	55570	21737
928	55630	21677
929	55695	21619
930	55765	21563
931	55829	21505
932	55884	21443
933	55941	21382
934	56000	21322
935	56058	21261
936	56111	21198
937	56176	21140
938	56234	21080
939	56295	21021
940	56361	20963
941	56421	20903
942	56493	20847
943	56559	20790
944	56616	20729
945	56679	20670
946	56751	20615
947	56856	20571
948	56949	20523
949	57004	20461
950	57064	20401
951	57130	20343
952	57195	20285
953	57249	20223
954	57309	20163
955	57374	20105
956	57434	20045
957	57508	19989
958	57595	19939
959	57719	19901
960	57798	19847
961	57874	19792
962	57956	19740
963	58037	19686
964	58111	19631
965	58179	19573
966	58271	19524
967	58337	19465
968	58394	19404
969	58453	19343
970	58513	19283
971	58572	19222
972	58631	19162
973	58690	19101
974	58753	19042
975	58813	18981
976	58863	18918
977	58919	18856
978	58975	18795
979	59033	18733
980	59091	18673
981	59152	18613
982	59208	18551
983	59271	18492
984	59330	18431
985	59397	18373
986	59454	18312
987	59522	18254
988	59579	18193
989	59637	18132
990	59690	18069
991	59745	18007
992	59808	17948
993	59871	17889
994	59933	17829
995	59989	17768
996	60043	17706
997	60106	17646
998	60160	17584
999	60216	17522
1000	60273	17461
1001	60324	17399
1002	60385	17339
1003	60442	17277
1004	60510	17219
1005	60564	17158
1006	60613	17094
1007	60665	17032
1008	60714	16968
1009	60761	16904
1010	60810	16841
1011	60860	16778
1012	60917	16717
1013	60975	16656
1014	61031	16595
1015	61079	16532
1016	61133	16470
1017	61185	16408
1018	61240	16346
1019	61295	16285
1020	61360	16226
1021	61413	16164
1022	61473	16104
1023	61526	16042
1024	61586	15982
1025	61640	15920
1026	61698	15860
1027	61759	15800
1028	61812	15738
1029	61863	15675
1030	61915	15613
1031	61969	15552
1032	62028	15492
1033	62094	15433
1034	62152	15372
1035	62219	15314
1036	62282	15255
1037	62342	15195
1038	62394	15133
1039	62449	15071
1040	62505	15010
1041	62573	14952
1042	62630	14891
1043	62680	14829
1044	62738	14769
1045	62820	14714
1046	62906	14660
1047	62985	14604
1048	63073	14550
1049	63164	14497
1050	63246	14442
1051	63334	14388
1052	63414	14333
1053	63476	14273
1054	63542	14214
1055	63607	14155
1056	63671	14095
1057	63736	14036
1058	63795	13975
1059	63878	13920
1060	63966	13866
1061	64024	13805
1062	64089	13746
1063	64149	13686
1064	64216	13627
1065	64275	13566
1066	64332	13505
1067	64397	13446
1068	64458	13386
1069	64517	13325
1070	64601	13270
1071	64666	13210
1072	64724	13150
1073	64781	13089
1074	64840	13028
1075	64902	12968
1076	64966	12908
1077	65031	12849
1078	65097	12790
1079	65162	12730
1080	65232	12672
1081	65294	12612
1082	65362	12553
1083	65420	12492
1084	65479	12432
1085	65546	12372
1086	65614	12313
1087	65676	12254
1088	65736	12193
1089	65798	12133
1090	65869	12075
1091	65936	12015
1092	65997	11955
1093	66057	11895
1094	66118	11834
1095	66189	11776
1096	66250	11716
1097	66308	11655
1098	66363	11593
1099	66467	11541
1100	66609	11494
1101	66680	11436
1102	66743	11376
1103	66806	11316
1104	66875	11256
1105	66936	11196
1106	67000	11136
1107	67062	11076
1108	67115	11014
1109	67180	10954
1110	67246	10894
1111	67316	10836
1112	67398	10778
1113	67479	10721
1114	67571	10666
1115	67653	10608
1116	67723	10549
1117	67788	10489
1118	67853	10429
1119	67913	10368
1120	67965	10306
1121	68028	10246
1122	68100	10187
1123	68161	10127
1124	68221	10066
1125	68283	10006
1126	68347	9945
1127	68411	9885
1128	68471	9825
1129	68547	9766
1130	68606	9705
1131	68673	9645
1132	68735	9585
1133	68794	9524
1134	68863	9464
1135	68923	9404
1136	68980	9343
1137	69049	9283
1138	69117	9223
1139	69183	9163
1140	69260	9105
1141	69334	9046
1142	69404	8986
1143	69461	8925
1144	69522	8864
1145	69583	8804
1146	69640	8742
1147	69696	8681
1148	69755	8620
1149	69810	8559
1150	69872	8498
1151	69940	8439
1152	70006	8378
1153	70065	8318
1154	70125	8257
1155	70194	8197
1156	70260	8137
1157	70330	8077
1158	70383	8016
1159	70441	7955
1160	70501	7894
1161	70568	7834
1162	70630	7773
1163	70689	7712
1164	70758	7652
1165	70822	7592
1166	70888	7532
1167	70950	7471
1168	71012	7411
1169	71073	7350
1170	71138	7290
1171	71208	7230
1172	71268	7169
1173	71331	7108
1174	71399	7048
1175	71465	6988
1176	71538	6928
1177	71611	6869
1178	71687	6810
1179	71756	6750
1180	71830	6690
1181	71891	6629
1182	71957	6569
1183	72016	6508
1184	72083	6447
1185	72147	6387
1186	72210	6326
1187	72270	6265
1188	72341	6205
1189	72409	6145
1190	72471	6084
1191	72535	6024
1192	72602	5964
1193	72663	5903
1194	72723	5842
1195	72799	5782
1196	72875	5722
1197	72944	5662
1198	73004	5601
1199	73074	5541
1200	73138	5480
1201	73217	5421
1202	73296	5361
1203	73367	5301
1204	73439	5241
1205	73503	5180
1206	73565	5119
1207	73627	5058
1208	73690	4998
1209	73752	4937
1210	73814	4876
1211	73881	4815
1212	73937	4754
1213	73994	4693
1214	74064	4632
1215	74137	4572
1216	74194	4511
1217	74250	4450
1218	74302	4388
1219	74358	4327
1220	74423	4266
1221	74486	4205
1222	74546	4144
1223	74615	4084
1224	74677	4023
1225	74741	3962
1226	74802	3901
1227	74862	3840
1228	74941	3780
1229	75020	3720
1230	75092	3660
1231	75155	3599
1232	75220	3538
1233	75284	3477
1234	75349	3416
1235	75408	3355
1236	75471	3294
1237	75529	3233
1238	75590	3172
1239	75647	3111
1240	75702	3050
1241	75768	2989
