Feature,Importance
sensor_3_lag_3,0.0749194152895398
sensor_10_lag_3,0.0668472789555759
sensor_17_lag_3,0.06661915734967383
sensor_20_lag_1,0.06457006324109735
sensor_15_roll_mean_5,0.06222610557439443
sensor_17_lag_2,0.060924309561884195
sensor_10_roll_std_5,0.06007098738644097
sensor_17_roll_std_5,0.059745306222597126
sensor_13_diff,0.05901969302192952
sensor_15_roll_std_5,0.058034356819220846
sensor_16_lag_3,0.056669048605235355
sensor_11_roll_mean_5,0.056197545212324916
sensor_20_lag_2,0.05609654081965021
sensor_10,0.05020175644263462
sensor_16,0.050200626803723045
sensor_4_roll_std_5,0.046001636916204715
sensor_6_diff,0.041712709663610584
operational_setting_2,0.040998750134184844
sensor_9_roll_mean_5,0.03853286137812718
sensor_10_roll_mean_5,0.034627703797776986
sensor_8_diff,0.03389226223637596
sensor_11_roll_std_5,0.033561571173924554
sensor_6_roll_std_5,0.030830575910806717
sensor_3_roll_std_5,0.029004930366815788
operational_setting_1,0.027531840063194275
sensor_18_roll_mean_5,0.027095232090897998
sensor_16_roll_mean_5,0.026107742202814456
sensor_21_diff,0.02537780816951944
sensor_20_roll_std_5,0.025363000533855498
sensor_4_diff,0.024571059899490377
sensor_4_roll_mean_5,0.024144352115750174
sensor_16_roll_std_5,0.023672264932460763
sensor_1_roll_std_5,0.023561661964036786
sensor_5_roll_std_5,0.022896376779881076
sensor_15_diff,0.021956683723058645
sensor_3_roll_mean_5,0.021699569488958827
sensor_11_diff,0.020752409294814263
sensor_2_diff,0.020028557980574672
sensor_9_roll_std_5,0.017850787428810227
sensor_12_diff,0.016108231387377103
sensor_7_roll_std_5,0.015845361546223027
sensor_7_diff,0.01564697946357824
sensor_8_roll_mean_5,0.015604995046560505
sensor_21_roll_mean_5,0.015070224008775683
sensor_17_roll_mean_5,0.014737383781371105
sensor_5_roll_mean_5,0.014533458703250925
sensor_14_diff,0.013772753516197531
sensor_12_roll_std_5,0.013488538946643548
sensor_2_roll_std_5,0.013279041926587153
sensor_3_diff,0.013082121647301326
sensor_18_roll_std_5,0.011786071968862919
sensor_2_roll_mean_5,0.01064394855898637
sensor_8_roll_std_5,0.010286555734650019
sensor_6_roll_mean_5,0.009540405721884776
sensor_20_roll_mean_5,0.009091091445224958
sensor_12_roll_mean_5,0.008286045694096368
sensor_9_diff,0.007581674269488374
sensor_17_diff,0.006312869504751381
sensor_21_roll_std_5,0.004977486665542414
sensor_1_roll_mean_5,0.004875068185134391
sensor_16_diff,0.004826942158943018
sensor_19_roll_std_5,0.004257578780908905
sensor_7_roll_mean_5,0.0037612854857183107
sensor_19_roll_mean_5,0.003725839499859385
sensor_20_diff,0.003469928861316494
sensor_10_diff,0.0015757650295077242
sensor_19,0.0
sensor_18,0.0
sensor_1,0.0
operational_setting_3,0.0
sensor_5_lag_2,0.0
sensor_5_lag_1,0.0
sensor_5_lag_3,0.0
sensor_1_lag_3,0.0
sensor_1_lag_2,0.0
sensor_1_lag_1,0.0
sensor_18_lag_1,0.0
sensor_19_lag_3,0.0
sensor_5_diff,0.0
sensor_1_diff,0.0
sensor_18_lag_3,0.0
sensor_18_lag_2,0.0
sensor_19_lag_2,0.0
sensor_19_lag_1,0.0
sensor_19_diff,0.0
sensor_18_diff,0.0
